Year,Cash Flow (THB),Accumulated Cash Flow (THB)
0,-129840000.0,-129840000.0
1,13600000.0,-116240000.0
2,13600000.0,-102640000.0
3,13600000.0,-89040000.0
4,13600000.0,-75440000.0
5,13600000.0,-61840000.0
6,13600000.0,-48240000.0
7,13600000.0,-34640000.0
8,13600000.0,-21040000.0
9,13600000.0,-7440000.0
10,13600000.0,6160000.0
11,13600000.0,19760000.0
12,13600000.0,33360000.0
13,13600000.0,46960000.0
14,13600000.0,60560000.0
15,13600000.0,74160000.0
16,13600000.0,87760000.0
17,13600000.0,101360000.0
18,13600000.0,114960000.0
19,13600000.0,128560000.0
20,13600000.0,142160000.0
